number,safe_repo,repo_name,archive,repo_id,technology,path
335,netscaler/netscaler-k8s-ingress-controller,netscaler/netscaler-k8s-ingress-controller,netscaler-netscaler-k8s-ingress-controller.tar.gz,149721171.0,opa,docs/how-to/webhook/requiredannotations/constraint.yaml
336,raffaelespazzoli/openshift-enablement-exam,raffaelespazzoli/openshift-enablement-exam,raffaelespazzoli-openshift-enablement-exam.tar.gz,70494103.0,kyverno,misc4.0/kyverno/cmdb-pod-policy.yaml
337,googlecloudplatform/policy-library,googlecloudplatform/policy-library,GoogleCloudPlatform-policy-library.tar.gz,178277843.0,opa,samples/bigquery_cmek.yaml
338,lfn-cnti/testsuite,lfn-cnti/testsuite,lfn-cnti-testsuite.tar.gz,234632572.0,opa,embedded_files/enforce-image-tag.yml
339,stacklet/shift-left-foundations-pack,stacklet/shift-left-foundations-pack,stacklet-shift-left-foundations-pack.tar.gz,604159163.0,cloud-custodian,policies/sagemaker.yaml
340,cloud-gov/compliance,cloud-gov/compliance,cloud-gov-compliance.tar.gz,45255895.0,cloud-custodian,audit/custodian/ebs-encrypted.yml
341,pulumi/customer-managed-deployment-agent,pulumi/customer-managed-deployment-agent,pulumi-customer-managed-deployment-agent.tar.gz,734080183.0,kyverno,kubernetes/troubleshooting/kyverno.yaml
342,fybrik/fybrik,fybrik/fybrik,fybrik-fybrik.tar.gz,293918210.0,opa,samples/adminconfig/optimization_strategy.rego
343,googlecloudplatform/anthos-appconfig,googlecloudplatform/anthos-appconfig,GoogleCloudPlatform-anthos-appconfig.tar.gz,192810846.0,opa,anthos-config-management/gatekeeper-config/constraint-templates.yaml
344,cybersecurity-certification-hub/security-metrics,cybersecurity-certification-hub/security-metrics,Cybersecurity-Certification-Hub-security-metrics.tar.gz,778337462.0,opa,metrics/DevelopmentLifeCycle/SignedCommits/metric.rego
345,cisagov/scubagoggles,cisagov/scubagoggles,cisagov-ScubaGoggles.tar.gz,670199969.0,opa,scubagoggles/rego/Chat.rego
346,googlecloudplatform/federated-learning,googlecloudplatform/federated-learning,GoogleCloudPlatform-federated-learning.tar.gz,447134645.0,opa,configsync/policycontroller/constraints.yaml
347,googlecloudplatform/terraform-google-enterprise-genai,googlecloudplatform/terraform-google-enterprise-genai,GoogleCloudPlatform-terraform-google-enterprise-genai.tar.gz,777420932.0,opa,policy-library/policies/constraints/require_dnssec.yaml
348,geeks-academy/terraform,geeks-academy/terraform,Geeks-Academy-terraform.tar.gz,289713692.0,hashicorp-sentinel,sentinel/passthrough.sentinel
349,jouve/charts,jouve/charts,jouve-charts.tar.gz,641652568.0,opa,charts/gatekeeper-library/templates/k8sblockloadbalancer.yaml
350,azure/alz-bicep,azure/alz-bicep,Azure-ALZ-Bicep.tar.gz,396743838.0,azure,infra-as-code/bicep/modules/policy/definitions/lib/policy_definitions/policy_definition_es_Deny-AzFw-Without-Policy.json
351,kubewarden/disallow-service-nodeport-policy,kubewarden/disallow-service-nodeport-policy,kubewarden-disallow-service-nodeport-policy.tar.gz,407485149.0,opa,utility/policy.rego
352,dipankardas011/learn-cloud-native-tools,dipankardas011/learn-cloud-native-tools,dipankardas011-Learn-Cloud-Native-Tools.tar.gz,455950566.0,kyverno,policy/kyverno/workshop/01.yml
353,mathieu-benoit/ci-with-helm,mathieu-benoit/ci-with-helm,mathieu-benoit-ci-with-helm.tar.gz,535925718.0,opa,policies/users/samples/constraint.yaml
354,hummerrisk/hummerrisk,hummerrisk/hummerrisk,HummerRisk-HummerRisk.tar.gz,499359479.0,azure,hummer-modules/hummer-cloud/src/main/resources/support/strategy/hummer-azure-plugin.json
355,hashicorp/nomad-guides,hashicorp/nomad-guides,hashicorp-nomad-guides.tar.gz,110382535.0,hashicorp-sentinel,operations/sentinel/sentinel_policies/enforce_multi_dc.sentinel
356,devspace-cloud/devspace-cloud,devspace-cloud/devspace-cloud,devspace-cloud-devspace-cloud.tar.gz,197343751.0,opa,rego/ingress_hosts.rego
357,ciscodevnet/sdwan-devops,ciscodevnet/sdwan-devops,CiscoDevNet-sdwan-devops.tar.gz,197055843.0,opa,config/policy/config.rego
358,qbeyond/terraform-azurerm-archetype-lib,qbeyond/terraform-azurerm-archetype-lib,qbeyond-terraform-azurerm-archetype-lib.tar.gz,645334508.0,azure,policy_definitions/tagging/policy_definition_qby_require_tag_on_resource_group.json
359,daocloud/dce-charts-repackage,daocloud/dce-charts-repackage,DaoCloud-dce-charts-repackage.tar.gz,521113807.0,opa,charts/metallb/metallb/charts/metallb/policy/speaker.rego
360,nordix/metal3-clusterapi-docs,nordix/metal3-clusterapi-docs,Nordix-metal3-clusterapi-docs.tar.gz,206261010.0,kyverno,security/container-signing-poc/kyverno/policy/kyverno-policy-notation.yaml
361,neilmfrench/homelab-prod,neilmfrench/homelab-prod,neilmfrench-homelab-prod.tar.gz,586082284.0,kyverno,kubernetes/infrastructure/production/kyverno/kyverno/policies/remove-cpu-limits.yaml
362,aquasecurity/postee,aquasecurity/postee,aquasecurity-postee.tar.gz,75539205.0,opa,rego-templates/raw-message-json.rego
363,digicatapult/veritable-cloudagent,digicatapult/veritable-cloudagent,digicatapult-veritable-cloudagent.tar.gz,660099340.0,opa,docker/opa/suppliers.rego
364,rallyhealth/conftest-policy-packs,rallyhealth/conftest-policy-packs,rallyhealth-conftest-policy-packs.tar.gz,371760649.0,opa,policies/lib/packages_functions.rego
365,confluentinc/policy-library-confluent-terraform,confluentinc/policy-library-confluent-terraform,confluentinc-policy-library-confluent-terraform.tar.gz,614974702.0,hashicorp-sentinel,policies/allow_topic_custom_retention_period/allow_topic_custom_retention_period.sentinel
366,stylescube/sam-s-custodian,stylescube/sam-s-custodian,stylescube-Sam-s-Custodian.tar.gz,170404183.0,cloud-custodian,Firewall/policy.yml
367,dettanym/prose,dettanym/prose,dettanym-prose.tar.gz,587935554.0,opa,privacy-profile-composer/resources/opa_bundle/prose/allow_all/policy.rego
368,gsa/grace-cloudcustodian,gsa/grace-cloudcustodian,GSA-grace-cloudcustodian.tar.gz,209335437.0,cloud-custodian,custodian_policy_templates/user_key_disable.yml
369,c0c0n3/teadal.proto,c0c0n3/teadal.proto,c0c0n3-teadal.proto.tar.gz,591431972.0,opa,deployment/mesh-infra/security/opa/rego/minio/service.rego
370,mitodl/ol-infrastructure,mitodl/ol-infrastructure,mitodl-ol-infrastructure.tar.gz,267145677.0,cloud-custodian,cloud_custodian/cleanup_ebs_resources.yaml
