repo_name,archive_name,repo_id,path,ref,size,technology,id
Azure/ShieldGuard,Azure-ShieldGuard.tar.gz,563114348.0,docs/manual/samples/001-get-started/policy/001-app-name-required.rego,8ecc1e7bd04d7035e61db742f853e5fd2bdd33aa,221.0,opa,563114348.0
Azure/aca-landing-zone-accelerator,Azure-aca-landing-zone-accelerator.tar.gz,528897768.0,scenarios/aca-internal/bicep/modules/02-spoke/modules/policy/policy-definitions/aca-no-monitoring.json,81f0be2fd291bfc1c25b8601ea2591165e29518c,1081.0,azure,528897768.0
Azure/aca-landing-zone-accelerator,Azure-aca-landing-zone-accelerator.tar.gz,528897768.0,scenarios/aca-internal/bicep/modules/02-spoke/modules/policy/policy-definitions/aca-no-liveness-probes.json,81f0be2fd291bfc1c25b8601ea2591165e29518c,1298.0,azure,528897768.0
Azure/aca-landing-zone-accelerator,Azure-aca-landing-zone-accelerator.tar.gz,528897768.0,scenarios/aca-internal/bicep/modules/02-spoke/modules/policy/policy-definitions/aca-allowed-ingress-target-ports.json,81f0be2fd291bfc1c25b8601ea2591165e29518c,1743.0,azure,528897768.0
kubebb/components,kubebb-components.tar.gz,649660306.0,charts/cluster-component/charts/openebs/templates/kyverno/require-user-groups.yaml,07c7a5fcfb5965b0624de97a97fff1d4cb009811,1450.0,kyverno,649660306.0
cisagov/ScubaGear,cisagov-ScubaGear.tar.gz,516451110.0,PowerShell/ScubaGear/Testing/Unit/Rego/PowerPlatform/PowerPlatformBaseConfig.rego,62202709b63d425fcb8ac7c79dcd5ff0f0e5d8a7,1263.0,opa,516451110.0
cisagov/ScubaGear,cisagov-ScubaGear.tar.gz,516451110.0,PowerShell/ScubaGear/Rego/Utils/ReportDetails.rego,62202709b63d425fcb8ac7c79dcd5ff0f0e5d8a7,3463.0,opa,516451110.0
cisagov/ScubaGear,cisagov-ScubaGear.tar.gz,516451110.0,PowerShell/ScubaGear/Rego/DefenderConfig.rego,62202709b63d425fcb8ac7c79dcd5ff0f0e5d8a7,29622.0,opa,516451110.0
cisagov/ScubaGear,cisagov-ScubaGear.tar.gz,516451110.0,PowerShell/ScubaGear/Rego/Utils/AAD.rego,62202709b63d425fcb8ac7c79dcd5ff0f0e5d8a7,7652.0,opa,516451110.0
cisagov/ScubaGear,cisagov-ScubaGear.tar.gz,516451110.0,PowerShell/ScubaGear/Rego/Utils/Defender.rego,62202709b63d425fcb8ac7c79dcd5ff0f0e5d8a7,9165.0,opa,516451110.0
