,repo_id,path,ref,size,technology,id
6540,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1562.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1034,azure,98492017
6541,145643478,policy-definitions/audit-storage-account-without-lifecycle-mgmt-policy/azurepolicy.json,184410c8c30f645397892db71cce42410f2358dc,1082,azure,145643478
6542,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1711.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1047,azure,98492017
6543,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1238.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1027,azure,98492017
6544,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1391.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1037,azure,98492017
6545,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1634.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1071,azure,98492017
6546,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1460.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1050,azure,98492017
6547,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1678.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1037,azure,98492017
6548,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1717.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1080,azure,98492017
6549,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1726.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1053,azure,98492017
6550,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1576.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1091,azure,98492017
6551,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1570.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1031,azure,98492017
