repo_name,archive_name
JamesWoolfenden/terraform-aws-cloudfront-s3,JamesWoolfenden-terraform-aws-cloudfront-s3.tar.gz
secmon-lab/alertchain,secmon-lab-alertchain.tar.gz
enterprise-contract/ec-policies,enterprise-contract-ec-policies.tar.gz
JamesWoolfenden/terraform-aws-ecr,JamesWoolfenden-terraform-aws-ecr.tar.gz
ministryofjustice/analytical-platform,ministryofjustice-analytical-platform.tar.gz
kyverno/policies,kyverno-policies.tar.gz
osinfra-io/datadog-organization-management,osinfra-io-datadog-organization-management.tar.gz
fybrik/airbyte-module,fybrik-airbyte-module.tar.gz
open-policy-agent/contrib,open-policy-agent-contrib.tar.gz
aws-cloudformation/cloudformation-guard,aws-cloudformation-cloudformation-guard.tar.gz
ioggstream/python-course,ioggstream-python-course.tar.gz
JJGadgets/Biohazard,JJGadgets-Biohazard.tar.gz
martin77s/Azure,martin77s-Azure.tar.gz
bradmccoydev/tfval,bradmccoydev-tfval.tar.gz
erudinsky/Azure-Bicep-Workshop,erudinsky-Azure-Bicep-Workshop.tar.gz
Jdavid77/home-cluster,Jdavid77-home-cluster.tar.gz
spiffe/spire-tutorials,spiffe-spire-tutorials.tar.gz
timebertt/kubernetes-controller-sharding,timebertt-kubernetes-controller-sharding.tar.gz
open-policy-agent/opa,open-policy-agent-opa.tar.gz
cdklabs/cdk-validator-cfnguard,cdklabs-cdk-validator-cfnguard.tar.gz
wkspower/wks-platform,wkspower-wks-platform.tar.gz
AlexRogalskiy/scala-patterns,AlexRogalskiy-scala-patterns.tar.gz
aws-cloudformation/community-registry-extensions,aws-cloudformation-community-registry-extensions.tar.gz
devops-adeel/terraform-vault-secrets-kv,devops-adeel-terraform-vault-secrets-kv.tar.gz
Azure/OnBoardVMInsights,Azure-OnBoardVMInsights.tar.gz
department-of-veterans-affairs/bip-archetypetest,department-of-veterans-affairs-bip-archetypetest.tar.gz
TorStava/k3s-flux-homelab,TorStava-k3s-flux-homelab.tar.gz
bank-vaults/bank-vaults,bank-vaults-bank-vaults.tar.gz
weaveworks/policy-library,weaveworks-policy-library.tar.gz
equinor/radix-platform,equinor-radix-platform.tar.gz
thibaultserti/kubernetes,thibaultserti-kubernetes.tar.gz
thecasualcoder/dobby,thecasualcoder-dobby.tar.gz
USA-RedDragon/home-cluster-flux,USA-RedDragon-home-cluster-flux.tar.gz
canada-ca/cloud-guardrails-gcp,canada-ca-cloud-guardrails-gcp.tar.gz
globalbao/azure-policy-as-code,globalbao-azure-policy-as-code.tar.gz
ministryofjustice/modernisation-platform,ministryofjustice-modernisation-platform.tar.gz
spacelift-io/terraform-starter,spacelift-io-terraform-starter.tar.gz
hashicorp-education/learn-terraform-enforce-policies,hashicorp-education-learn-terraform-enforce-policies.tar.gz
sangkeon/java-opa-wasm,sangkeon-java-opa-wasm.tar.gz
hmcts/azure-policy,hmcts-azure-policy.tar.gz
openinfradev/helm-charts,openinfradev-helm-charts.tar.gz
DiamondLightSource/authz,DiamondLightSource-authz.tar.gz
Azure/bicep,Azure-bicep.tar.gz
aquasecurity/starboard,aquasecurity-starboard.tar.gz
edgelesssys/uplosi,edgelesssys-uplosi.tar.gz
fabianlee/blogcode,fabianlee-blogcode.tar.gz
tmaxbi/hyperdata,tmaxbi-hyperdata.tar.gz
kube-components-stack/kustomization,kube-components-stack-kustomization.tar.gz
kata-containers/kata-containers,kata-containers-kata-containers.tar.gz
toboshii/home-ops,toboshii-home-ops.tar.gz
gettek/terraform-azurerm-policy-as-code,gettek-terraform-azurerm-policy-as-code.tar.gz
a1994sc/helm,a1994sc-helm.tar.gz
back-stack/showcase,back-stack-showcase.tar.gz
loft-sh/jspolicy,loft-sh-jspolicy.tar.gz
Azure/Microsoft-Defender-for-Cloud,Azure-Microsoft-Defender-for-Cloud.tar.gz
datreeio/CRDs-catalog,datreeio-CRDs-catalog.tar.gz
VerticalRelevance/control-broker,VerticalRelevance-control-broker.tar.gz
